,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,ONEOFFPURCHASES_TOTAL,TOTAL_OWED,PCT_PAID
BALANCE,1.0,0.32194076602396854,0.18126072674436575,0.16434964297242416,0.1264690116982378,0.4966915579198371,-0.07787105631686854,0.07316450496420442,-0.06317956467536473,0.44905365963770516,0.38515228472157864,0.1543383561076574,0.5312961717172057,0.3228016768469766,0.39899246422759926,0.16440826849204795,0.4900616703797716,-0.015446566751138209
BALANCE_FREQUENCY,0.32194076602396854,1.0,0.1336035338406186,0.1042263234347065,0.12430090505402952,0.0994466884510539,0.22995927265988053,0.20238720231871846,0.176155269763608,0.19161433602046093,0.141446276766612,0.1894194419774294,0.09575526743048227,0.06495303980895611,0.1372592849976627,0.10424833026750653,0.16942677497212058,-0.050339247148438376
PURCHASES,0.18126072674436575,0.1336035338406186,1.0,0.9168445587151476,0.6798962203562006,-0.051474217542996574,0.3929203266747679,0.4984380908151655,0.3154850648583359,-0.12003265247243797,-0.06717528502515058,0.689560834524528,0.3569769239818512,0.603263816965828,0.09669612680974349,0.916735845486635,0.6957511071981458,-0.0374522203125045
ONEOFF_PURCHASES,0.16434964297242416,0.1042263234347065,0.9168445587151476,1.0,0.3306215472287754,-0.031325701549206476,0.2648610162590028,0.5248463768112084,0.12766283782956075,-0.08256338901716899,-0.046212153530014996,0.5455232847565061,0.3197347758416187,0.5672916019223532,0.050887398657571144,0.9999827398251544,0.6493085717269017,-0.029255730428214766
INSTALLMENTS_PURCHASES,0.1264690116982378,0.12430090505402952,0.6798962203562006,0.3306215472287754,1.0,-0.06424367345301693,0.44232966530535944,0.21414452213284113,0.5112789750024731,-0.1321763325326929,-0.07399918017261836,0.6281075383558665,0.2565145343541205,0.3840837850548172,0.1350051358286072,0.3303330132184711,0.4520033658241574,-0.03477304154157281
CASH_ADVANCE,0.4966915579198371,0.0994466884510539,-0.051474217542996574,-0.031325701549206476,-0.06424367345301693,1.0,-0.2154381380785262,-0.08667840760201509,-0.17702661803363878,0.6284170695032829,0.6564975262642417,-0.07585017576910964,0.3039970952477763,0.4532381453484352,0.14106952012057825,-0.03125523859403775,0.6815174959061382,-0.03997365651976682
PURCHASES_FREQUENCY,-0.07787105631686854,0.22995927265988053,0.3929203266747679,0.2648610162590028,0.44232966530535944,-0.2154381380785262,1.0,0.5015135357797389,0.8629417072084394,-0.3077530964676467,-0.20339849073507718,0.5683526893646383,0.11977842134712813,0.10340961178694136,0.007962045073550928,0.2647665457251076,0.13297054435667371,-0.06210824976243341
ONEOFF_PURCHASES_FREQUENCY,0.07316450496420442,0.20238720231871846,0.4984380908151655,0.5248463768112084,0.21414452213284113,-0.08667840760201509,0.5015135357797389,1.0,0.14253091247497035,-0.11122047965053945,-0.06896096686629072,0.5448863334646276,0.29501616208897025,0.2435787086100792,-0.026383649953512736,0.5248931953504733,0.302899826437832,-0.0370243450103279
PURCHASES_INSTALLMENTS_FREQUENCY,-0.06317956467536473,0.176155269763608,0.3154850648583359,0.12766283782956075,0.5112789750024731,-0.17702661803363878,0.8629417072084394,0.14253091247497035,1.0,-0.262476266765678,-0.16920233415042032,0.5298785872171285,0.060774311573190645,0.08549428633626106,0.03364396279580374,0.12753475061829384,0.10385502106870499,-0.05181679951189631
CASH_ADVANCE_FREQUENCY,0.44905365963770516,0.19161433602046093,-0.12003265247243797,-0.08256338901716899,-0.1321763325326929,0.6284170695032829,-0.3077530964676467,-0.11122047965053945,-0.262476266765678,1.0,0.7993856606632446,-0.13094398435266547,0.1326197450978762,0.18299529954197094,0.10128381677055372,-0.08249041908288682,0.36402373091760304,-0.04587401758317118
CASH_ADVANCE_TRX,0.38515228472157864,0.141446276766612,-0.06717528502515058,-0.046212153530014996,-0.07399918017261836,0.6564975262642417,-0.20339849073507718,-0.06896096686629072,-0.16920233415042032,0.7993856606632446,1.0,-0.0661566935469789,0.14971290303708976,0.25527769413956064,0.11188714006506657,-0.046149946807750496,0.42295268262267155,-0.03681865456109195
PURCHASES_TRX,0.1543383561076574,0.1894194419774294,0.689560834524528,0.5455232847565061,0.6281075383558665,-0.07585017576910964,0.5683526893646383,0.5448863334646276,0.5298785872171285,-0.13094398435266547,-0.0661566935469789,1.0,0.27290158631341355,0.3708322532694192,0.0999371670503295,0.5453733340608,0.45073751722283234,-0.042152799485228445
CREDIT_LIMIT,0.5312961717172057,0.09575526743048227,0.3569769239818512,0.3197347758416187,0.2565145343541205,0.3039970952477763,0.11977842134712813,0.29501616208897025,0.060774311573190645,0.1326197450978762,0.14971290303708976,0.27290158631341355,1.0,0.4218758484389029,0.1272171859084835,0.3197315746937691,0.4802289209880671,0.020191851482045057
PAYMENTS,0.3228016768469766,0.06495303980895611,0.603263816965828,0.5672916019223532,0.3840837850548172,0.4532381453484352,0.10340961178694136,0.2435787086100792,0.08549428633626106,0.18299529954197094,0.25527769413956064,0.3708322532694192,0.4218758484389029,1.0,0.1309772425835096,0.5672376944984598,0.7680409647268197,0.09209040506280952
MINIMUM_PAYMENTS,0.39899246422759926,0.1372592849976627,0.09669612680974349,0.050887398657571144,0.1350051358286072,0.14106952012057825,0.007962045073550928,-0.026383649953512736,0.03364396279580374,0.10128381677055372,0.11188714006506657,0.0999371670503295,0.1272171859084835,0.1309772425835096,1.0,0.05091215215594462,0.1723186714141185,0.011463019590949874
ONEOFFPURCHASES_TOTAL,0.16440826849204795,0.10424833026750653,0.916735845486635,0.9999827398251544,0.3303330132184711,-0.03125523859403775,0.2647665457251076,0.5248931953504733,0.12753475061829384,-0.08249041908288682,-0.046149946807750496,0.5453733340608,0.3197315746937691,0.5672376944984598,0.05091215215594462,1.0,0.6492795891062526,-0.029262179955690578
TOTAL_OWED,0.4900616703797716,0.16942677497212058,0.6957511071981458,0.6493085717269017,0.4520033658241574,0.6815174959061382,0.13297054435667371,0.302899826437832,0.10385502106870499,0.36402373091760304,0.42295268262267155,0.45073751722283234,0.4802289209880671,0.7680409647268197,0.1723186714141185,0.6492795891062526,1.0,-0.05619449461241761
PCT_PAID,-0.015446566751138209,-0.050339247148438376,-0.0374522203125045,-0.029255730428214766,-0.03477304154157281,-0.03997365651976682,-0.06210824976243341,-0.0370243450103279,-0.05181679951189631,-0.04587401758317118,-0.03681865456109195,-0.042152799485228445,0.020191851482045057,0.09209040506280952,0.011463019590949874,-0.029262179955690578,-0.05619449461241761,1.0
